,index,Ebook ID,Author,Title,Credits,Summary,Language,Library of Congress Classification,Category,EBook-No.,Release Date,Most Recently Updated,Copyright Status,Downloads,Subjects
10,15,3,"Kennedy, John F. (John Fitzgerald), 1917-1963",John F. Kennedy's Inaugural Address,,"""John F. Kennedy's Inaugural Address"" by John F. Kennedy is a historical speech that was delivered during the early 1960s, a significant time during the Cold War. This address marks the transition of power within the U.S. government and encapsulates themes of freedom, responsibility, and unity in the face of global challenges. The likely topic of the book revolves around the ideals of democracy and international cooperation, as well as a call to action for both citizens and nations.  In this powerful address, Kennedy emphasizes the importance of freedom, urging citizens to recognize their role in fostering and protecting liberty. He speaks to the challenges faced by humanity—tyranny, poverty, disease, and war—and calls for a collaborative effort among nations towards a better future. He offers a solemn pledge of support to allies and a commitment to assist oppressed peoples, emphasizing that true progress can be achieved through mutual cooperation and sacrifice. The address culminates in the famous call to action, asking individuals not what their country can do for them, but what they can do for their country, creating a shared sense of purpose among all citizens of the world. (This is an automatically generated summary.)",English,E838: History: America: Later twentieth century (1961-),Text,3,"Nov 1, 1973","Feb 9, 2024",Public domain in the USA.,1451 downloads in the last 30 days.,"United States -- Foreign relations -- 1961-1963, Presidents -- United States -- Inaugural addresses"
11,16,4,"Lincoln, Abraham, 1809-1865","Lincoln's Gettysburg AddressGiven November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA",,"""Lincoln's Gettysburg Address"" by Abraham Lincoln is a historical account of one of the most significant speeches in American history, delivered during the mid-19th century. The book focuses on the themes of liberty, equality, and national unity in the context of the Civil War. It reflects on the sacrifices made by soldiers and the overarching ideals of democracy and freedom.  In this powerful address made on November 19, 1863, at the dedication of a military cemetery in Gettysburg, Lincoln commemorates the soldiers who fought and died in the battle. He emphasizes the importance of their sacrifices in the struggle for a nation founded on the principles of equality and liberty. Lincoln calls for a renewed commitment from the living to continue their work, advocating for a government that truly represents the people. The speech concludes with a hopeful vision of a nation reborn, underscoring the idea that the values of democracy must endure for future generations. (This is an automatically generated summary.)",English,E456: History: America: Civil War period (1861-1865),Text,4,"Nov 1, 1973","Apr 1, 2015",Public domain in the USA.,521 downloads in the last 30 days.,"Consecration of cemeteries -- Pennsylvania -- Gettysburg, Soldiers' National Cemetery (Gettysburg, Pa.), Lincoln, Abraham, 1809-1865. Gettysburg address"
12,17,5,United States,The United States Constitution,,"""The United States Constitution"" by United States is a historically significant document written in the late 18th century. It is not only a foundational legal text but also serves as a framework for America's governance, outlining the structure and powers of government and establishing the rights of citizens. The book centers on key topics such as federalism, the separation of powers, and the checks and balances that are integral to American democracy.  The Constitution is organized into several articles, each detailing specific aspects of government operation. It begins with a preamble that states the purpose of the document— to create a more unified and just society. It addresses the legislative branch in Article I, delineating the powers and responsibilities of Congress, followed by the executive branch in Article II, which defines the presidency's powers. Article III establishes the judiciary, creating a system of federal courts. The Constitution also includes provisions for states' relations and describes the process for amendments, ensuring adaptability over time. Ultimately, this document not only serves as a blueprint for political structure but also embodies the principles of democracy and rule of law that continue to govern the United States today. (This is an automatically generated summary.)",English,"KF: Law in general, Comparative and uniform law, Jurisprudence: United States",Text,5,"Dec 1, 1975","Jan 1, 2021",Public domain in the USA.,800 downloads in the last 30 days.,"United States -- Politics and government -- 1783-1789 -- Sources, United States. Constitution"
13,18,6,"Henry, Patrick, 1736-1799",Give Me Liberty or Give Me Death,,"""Give Me Liberty or Give Me Death"" by Patrick Henry is a historic speech delivered in 1775, which serves as an impassioned call to arms during the American Revolution. The text falls within the genre of oratory, representing the fervent political discourse of the time. This pivotal moment reflects the prelude to conflict between the American colonies and British rule, highlighting the serious issues surrounding freedom and tyranny.  In his speech, Henry passionately argues for the necessity of fighting against British oppression, cautioning his fellow countrymen against the false hope of reconciliation. He emphasizes the futility of peaceful negotiations and presents the situation as a stark choice between liberty and slavery. By invoking powerful imagery and appeals to human experience, he urges his audience to recognize the immediacy of the threat and the need for an armed response. The concluding declaration—""Give me liberty or give me death!""—serves as a rallying cry for those seeking independence, encapsulating the determination and urgency of the revolutionary spirit. (This is an automatically generated summary.)",English,E201: History: America: Revolution (1775-1783),Text,6,"Dec 1, 1976","Apr 1, 2015",Public domain in the USA.,909 downloads in the last 30 days.,"Speeches, addresses, etc., American, United States -- Politics and government -- 1775-1783 -- Sources, Virginia -- Politics and government -- 1775-1783 -- Sources"
14,19,7,,The Mayflower Compact,,"""The Mayflower Compact"" is a foundational document authored in 1620, representing a significant occurrence during the early colonial period. This historical account details the agreement made by the Pilgrims aboard the Mayflower, as they sought to establish a new colony in what is now America. The compact illustrates the desire for self-governance, unity, and the establishment of a civil society based on mutual consent and responsibility among the settlers.  The document begins with a declaration in the name of God and states the intent to form a civil body politic for the better ordering and governance of the new colony. It emphasizes the collective commitment of the signers to create and abide by equitable laws that promote the common good. The signatories, who represent various individuals from different backgrounds, affirm their loyalty to King James and establish a foundation for democratic governance, setting a precedent for future self-rule in America. The Mayflower Compact symbolizes the emergence of a distinct American identity rooted in self-governance and shared values. (This is an automatically generated summary.)",English,F001: United States local history: New England,Text,7,"Dec 1, 1977","Dec 14, 2023",Public domain in the USA.,270 downloads in the last 30 days.,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources, Pilgrims (New Plymouth Colony), Mayflower Compact (1620)"
15,20,8,"Lincoln, Abraham, 1809-1865",Abraham Lincoln's Second Inaugural Address,,"""Abraham Lincoln's Second Inaugural Address"" by Abraham Lincoln is a historical speech delivered in the mid-19th century, specifically during the tumultuous period of the American Civil War. This book is a transcription of Lincoln's address, which conveys his thoughts and sentiments as he began his second term as President. The primary topic revolves around the enduring conflict of the Civil War, the institution of slavery, and the hope for national healing.  In the address, Lincoln reflects on the Civil War's grim realities and acknowledges the deep-rooted issues that led to the conflict, particularly slavery. He emphasizes that neither side anticipated the scale or duration of the war, and he poignantley grapples with the moral implications of asking divine assistance in a struggle rooted in such an offense. Lincoln articulates a vision of reconciliation and urges the nation to move forward with ""malice toward none"" and ""charity for all,"" underscoring the need to bind up the nation's wounds and strive for lasting peace. Through this powerful speech, he seeks to heal a fractured country, drawing upon a sense of shared humanity and a commitment to justice. (This is an automatically generated summary.)",English,E456: History: America: Civil War period (1861-1865),Text,8,"Dec 1, 1978","Jan 24, 2015",Public domain in the USA.,232 downloads in the last 30 days.,"United States -- Politics and government -- 1861-1865, Presidents -- United States -- Inaugural addresses"
16,21,9,"Lincoln, Abraham, 1809-1865",Abraham Lincoln's First Inaugural Address,,"""Abraham Lincoln's First Inaugural Address"" by Abraham Lincoln is a historical document delivered as a speech on March 4, 1861. This address takes place during a tumultuous period in American history, specifically the lead-up to the Civil War. In this speech, Lincoln aims to reassure a divided nation, emphasizing the importance of the Union and the continuity of the Constitution while addressing the contentious issues surrounding slavery.  In his address, Lincoln acknowledges the fears of Southern states regarding the protection of their rights and property, particularly concerning slavery. He firmly asserts that he has no intention to interfere with the institution of slavery where it already exists and advocates for the peaceful resolution of conflicts. Lincoln discusses the nature of the Union, arguing that it is perpetual and cannot be dissolved by individual states. By appealing to unity, he calls for patience and a commitment to dialogue while reminding listeners that civil war would only arise from aggression. The address ends on a hopeful note, urging Americans to recognize their shared bonds and to seek reconciliation rather than division, famously invoking ""the better angels of our nature."" (This is an automatically generated summary.)",English,E456: History: America: Civil War period (1861-1865),Text,9,"Dec 1, 1979","Dec 14, 2023",Public domain in the USA.,491 downloads in the last 30 days.,"United States -- Politics and government -- 1861-1865, Presidents -- United States -- Inaugural addresses"
17,22,10,,The King James Version of the Bible,,"""The King James Version of the Bible"" is a religious text and translation of the Christian scriptures established in the early 17th century. The opening portion introduces key texts within both the Old and New Testaments, beginning with the creation narrative in Genesis. The overall theme revolves around the creation of the world, the establishment of humanity, and the unfolding of religious history through key figures, genealogies, and covenantal relationships with God.  The beginning of this esteemed version starts with the foundational account of creation, where God forms the heavens and the earth, culminating in the creation of humanity in His image. This narrative sets the stage for pivotal stories such as Adam and Eve's life in the Garden of Eden, the story of Cain and Abel, and the rise of Noah in the context of impending judgment and redemption through the Ark. The narrative is steeped in theological significance, exploring themes of obedience, sin, and divine promise, establishing fundamental foundations for both Judaism and Christianity. (This is an automatically generated summary.)",English,"BS: Philosophy, Psychology, Religion: Christianity: The Bible, Old and New Testament",Text,10,"Aug 1, 1989","Apr 6, 2024",Public domain in the USA.,6243 downloads in the last 30 days.,Bible
18,23,11,"Carroll, Lewis, 1832-1898",Alice's Adventures in Wonderland,Arthur DiBianca and David Widger,"""Alice's Adventures in Wonderland"" by Lewis Carroll is a classic children's novel written in the mid-19th century. The story follows a young girl named Alice who, feeling bored and sleepy while sitting by a riverbank, encounters a White Rabbit and follows it down a rabbit hole, plunging into a fantastical world filled with curious creatures and whimsical adventures.  The opening of the book introduces Alice as she daydreams about her surroundings before spotting the White Rabbit, who is both flustered and animated. Curious, Alice pursues the Rabbit and finds herself tumbling down a deep rabbit hole, leading to a curious hall filled with doors, all locked. After experiencing a series of bizarre changes in size from eating and drinking mysterious substances, she begins exploring this new world, initially frustrated by her newfound challenges as she navigates her size and the peculiar inhabitants she meets. The narrative sets the tone for Alice's whimsical and often nonsensical adventures that characterize the entire tale. (This is an automatically generated summary.)",English,PZ: Language and Literatures: Juvenile belles lettres,Text,11,"Jun 27, 2008","Feb 4, 2024",Public domain in the USA.,41403 downloads in the last 30 days.,"Fantasy fiction, Children's stories, Imaginary places -- Juvenile fiction, Alice (Fictitious character from Carroll) -- Juvenile fiction"
19,24,12,"Carroll, Lewis, 1832-1898",Through the Looking-Glass,David Widger,"""Through the Looking-Glass"" by Lewis Carroll is a novel written in the mid-19th century. The story follows Alice as she embarks on a fantastical adventure in a whimsical world that mirrors her own, traversing through the peculiar realm of chess pieces and living flowers, introducing a myriad of unusual characters along the way. As the narrative unfolds, the reader is likely to encounter charmingly chaotic dialogues and nonsensical situations that explore the whimsical nature of language and reality.  The opening of the story introduces us to the character of Alice as she interacts with her kittens in a cozy domestic setting. Shortly after, she expresses curiosity about the ""Looking-Glass House"" and is drawn into an enchanting adventure as she passes through the looking glass. In this new realm, Alice discovers all objects behave differently, as chess pieces come to life, and she meets various characters like the White Queen and other whimsical inhabitants. Engaging in playful monologues and imaginative dialogues, Alice's journey hints at her quest for identity and understanding in a world governed by its own unique and often absurd rules. Ultimately, she aspires to navigate through this chessboard-like land to become a queen herself, setting the stage for her whimsical adventures ahead. (This is an automatically generated summary.)",English,PZ: Language and Literatures: Juvenile belles lettres,Text,12,"Jun 25, 2008","Apr 13, 2023",Public domain in the USA.,5790 downloads in the last 30 days.,"Fantasy fiction, Children's stories, Imaginary places -- Juvenile fiction, Alice (Fictitious character from Carroll) -- Juvenile fiction"
20,25,13,"Carroll, Lewis, 1832-1898",The Hunting of the Snark: An Agony in Eight Fits,David Widger,"""The Hunting of the Snark: An Agony in Eight Fits"" by Lewis Carroll is a whimsical narrative poem written in the late 19th century during the Victorian era. The book follows a peculiar group of characters on a bizarre expedition to hunt an elusive creature known as the Snark. Its playful language and nonsensical themes showcase Carroll's unique style, emphasizing imagination and the absurdity of the world.  The storyline unfolds through eight fits, each presenting the challenges and eccentricities faced by the crew led by the Bellman, who is described as a somewhat confused captain. Alongside various characters, including a Baker, a Banker, a Barrister, and a Beaver, they venture forth, facing comical hurdles and misunderstandings as they seek the Snark. Each character brings their quirks to the journey, contributing to the humor and the surreal atmosphere. The chase culminates in an unexpected twist, revealing that the Snark is actually a Boojum, a creature that causes those who encounter it to vanish. Throughout, Carroll's poem cleverly blends whimsy with a critique of societal norms, inviting readers into a fantastical world where logic is playfully subverted. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,13,"Jun 25, 2008","Oct 24, 2021",Public domain in the USA.,588 downloads in the last 30 days.,"Nonsense verses, English"
21,26,14,United States. Central Intelligence Agency,The 1990 CIA World Factbook,Dr. Gregory B. Newby,"""The 1990 CIA World Factbook"" by the United States Central Intelligence Agency is an information-rich reference book produced for governmental use, published in the late 20th century. It provides detailed statistics and descriptions of countries and territories, including geographical data, demographic information, economic indicators, and political structures, organized for all 249 recognized entities during that period.  The beginning of the publication outlines the structure and purpose of the factbook, specifically catering to the needs of U.S. government officials. The introductory sections explain the format and content adjustments made since previous editions, laying a foundation for understanding each included nation's unique features. For instance, the facts provided for countries like Afghanistan, Albania, and Algeria introduce vital statistics about their geography, populations, economies, and government types, highlighting historical contexts such as Afghanistan's civil war and Algeria's reliance on oil exports. This serves as a fundamental resource for policy-making and research related to international relations and comparative studies in the political and economic landscape. (This is an automatically generated summary.)",English,"G: Geography, Anthropology, Recreation",Text,14,"Apr 1, 1991","May 5, 2023",Public domain in the USA.,647 downloads in the last 30 days.,"World politics -- Handbooks, manuals, etc., Geography -- Handbooks, manuals, etc., Political science -- Handbooks, manuals, etc., Political statistics -- Handbooks, manuals, etc."
22,27,15,"Melville, Herman, 1819-1891","Moby-Dick; or, The Whale",Eugene F. Irey,"""Moby-Dick; or, The Whale"" by Herman Melville is a novel written in the mid-19th century. The book explores themes of obsession, vengeance, and humanity's relationship with nature through the experiences of its central character, Ishmael, who embarks on a whaling voyage aboard the Pequod, captained by the enigmatic and vengeful Ahab.  The opening of ""Moby-Dick"" introduces Ishmael, who shares his existential musings and the reasons for his desire to go to sea. He portrays the bustling port city of New Bedford, highlighting the magnetic pull of the ocean on the hearts of men. As he prepares for his journey, Ishmael reflects on his own internal struggles and motivations, ultimately leading him to desire adventure in the whaling industry. He arrives in New Bedford, confronts the challenges of finding a place to stay, and has a rather amusing encounter with the landlord and an unexpected harpooneer, setting the stage for his subsequent adventures at sea. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,15,"May 1, 1991","Mar 6, 2024",Public domain in the USA.,1802 downloads in the last 30 days.,"Whaling -- Fiction, Sea stories, Psychological fiction, Whaling ships -- Fiction"
23,28,16,"Barrie, J. M. (James Matthew), 1860-1937",Peter Pan,Duncan Research,"""Peter and Wendy"" by J.M. Barrie is a classic children's novel first published in the early 20th century. The story revolves around the beloved character Peter Pan and follows his adventures in the fantastical Neverland, along with a young girl named Wendy Darling and her brothers, John and Michael. The themes of childhood, innocence, and the challenges of growing up are prevalent throughout the narrative.  At the start of the story, we are introduced to the Darling family and their idyllic life in London. Wendy, the eldest child, grapples with the idea of growing up while her parents, Mr. and Mrs. Darling, navigate the challenges of parenthood. As the narrative unfolds, Peter Pan breaks into their nursery, and the children's imaginations ignite as they prepare for an adventure in Neverland. Wendy, along with her brothers, is enchanted by Peter's promise of flying and the magical world that awaits them. The opening sets the stage for a tale filled with whimsical characters, such as Tinker Bell, and introduces dark undertones through the presence of Captain Hook, foreshadowing the conflicts and trials that will unfold in their journey. (This is an automatically generated summary.)",English,PZ: Language and Literatures: Juvenile belles lettres,Text,16,"Jun 25, 2008","Feb 15, 2021",Public domain in the USA.,8502 downloads in the last 30 days.,"Fantasy literature, Peter Pan (Fictitious character) -- Fiction, Never-Never Land (Imaginary place) -- Fiction, Fairies -- Fiction"
